game,Bonds '01,Judge '22,Maris '61
1,1.0,0.0,0.0
2,1.0,0.0,0.0
3,1.0,0.0,0.0
4,1.0,0.0,0.0
5,1.0,0.0,0.0
6,1.0,1.0,0.0
7,1.0,1.0,0.0
8,1.0,1.0,0.0
9,2.0,1.0,0.0
10,3.0,1.0,0.0
11,4.0,1.0,1.0
12,5.0,1.0,1.0
13,6.0,1.0,1.0
14,7.0,3.0,1.0
15,7.0,3.0,1.0
16,8.0,3.0,1.0
17,8.0,4.0,2.0
18,8.0,4.0,2.0
19,9.0,5.0,2.0
20,9.0,6.0,3.0
21,10.0,,3.0
22,10.0,8.0,3.0
23,10.0,8.0,3.0
24,11.0,9.0,3.0
25,11.0,9.0,3.0
26,12.0,9.0,3.0
27,13.0,9.0,3.0
28,14.0,9.0,3.0
29,14.0,10.0,4.0
30,14.0,10.0,5.0
31,14.0,11.0,6.0
32,14.0,12.0,7.0
33,14.0,12.0,7.0
34,14.0,12.0,7.0
35,15.0,,8.0
36,15.0,14.0,8.0
37,15.0,14.0,8.0
38,15.0,14.0,9.0
39,15.0,14.0,9.0
40,16.0,15.0,11.0
41,17.0,15.0,12.0
42,20.0,17.0,12.0
43,22.0,17.0,13.0
44,23.0,17.0,14.0
45,24.0,17.0,15.0
46,24.0,17.0,15.0
47,25.0,17.0,15.0
48,25.0,18.0,16.0
49,25.0,18.0,17.0
50,26.0,19.0,17.0
51,26.0,19.0,17.0
52,26.0,20.0,18.0
53,28.0,21.0,18.0
54,29.0,21.0,18.0
55,29.0,22.0,20.0
56,29.0,22.0,20.0
57,30.0,22.0,21.0
58,31.0,22.0,22.0
59,31.0,24.0,22.0
60,32.0,24.0,22.0
61,32.0,24.0,23.0
62,32.0,25.0,24.0
63,32.0,25.0,25.0
64,33.0,25.0,26.0
65,33.0,25.0,26.0
66,34.0,25.0,27.0
67,36.0,25.0,27.0
68,36.0,25.0,27.0
69,36.0,27.0,27.0
70,37.0,27.0,27.0
71,38.0,27.0,27.0
72,38.0,27.0,27.0
73,38.0,28.0,27.0
74,39.0,28.0,28.0
75,39.0,28.0,30.0
76,39.0,29.0,30.0
77,39.0,29.0,31.0
78,39.0,29.0,32.0
79,39.0,29.0,32.0
80,39.0,29.0,32.0
81,39.0,29.0,32.0
82,39.0,30.0,33.0
83,39.0,,33.0
84,39.0,30.0,34.0
85,39.0,30.0,34.0
86,39.0,30.0,35.0
87,39.0,30.0,35.0
88,39.0,30.0,35.0
89,40.0,31.0,35.0
90,40.0,31.0,35.0
91,40.0,33.0,35.0
92,40.0,33.0,36.0
93,40.0,33.0,36.0
94,40.0,34.0,36.0
95,42.0,36.0,38.0
96,42.0,36.0,40.0
97,42.0,37.0,40.0
98,42.0,38.0,40.0
99,42.0,38.0,40.0
100,42.0,39.0,40.0
101,42.0,41.0,40.0
102,42.0,42.0,40.0
103,44.0,42.0,40.0
104,45.0,43.0,40.0
105,45.0,43.0,40.0
106,45.0,,41.0
107,45.0,43.0,41.0
108,46.0,43.0,41.0
109,46.0,43.0,41.0
110,46.0,44.0,41.0
111,47.0,44.0,41.0
112,47.0,45.0,41.0
113,48.0,46.0,41.0
114,48.0,46.0,42.0
115,49.0,46.0,43.0
116,49.0,46.0,44.0
117,50.0,46.0,45.0
118,50.0,46.0,46.0
119,51.0,46.0,48.0
120,51.0,46.0,48.0
121,53.0,46.0,48.0
122,53.0,46.0,48.0
123,54.0,47.0,49.0
124,54.0,48.0,49.0
125,54.0,48.0,50.0
126,54.0,49.0,50.0
127,55.0,49.0,50.0
128,55.0,49.0,50.0
129,55.0,50.0,51.0
130,55.0,51.0,51.0
131,56.0,51.0,51.0
132,56.0,51.0,51.0
133,56.0,52.0,51.0
134,56.0,,51.0
135,57.0,,53.0
136,57.0,,53.0
137,57.0,,53.0
138,58.0,,53.0
139,59.0,,53.0
140,59.0,,54.0
141,60.0,,55.0
142,60.0,,55.0
143,60.0,,56.0
144,63.0,,56.0
145,63.0,,56.0
146,63.0,,56.0
147,64.0,,56.0
148,64.0,,56.0
149,64.0,,56.0
150,66.0,,56.0
151,67.0,,57.0
152,67.0,,58.0
153,67.0,,58.0
154,68.0,,58.0
155,69.0,,59.0
156,69.0,,59.0
157,69.0,,59.0
158,69.0,,59.0
159,70.0,,60.0
160,72.0,,60.0
161,72.0,,60.0
162,73.0,,60.0
163,73.0,,61.0
