player,year,game,homeruns,cumulative
bondsba01,2001,1,1,1
bondsba01,2001,2,0,1
bondsba01,2001,3,0,1
bondsba01,2001,4,0,1
bondsba01,2001,5,0,1
bondsba01,2001,6,0,1
bondsba01,2001,7,0,1
bondsba01,2001,9,1,2
bondsba01,2001,10,1,3
bondsba01,2001,11,1,4
bondsba01,2001,12,1,5
bondsba01,2001,13,1,6
bondsba01,2001,14,1,7
bondsba01,2001,15,0,7
bondsba01,2001,16,1,8
bondsba01,2001,17,0,8
bondsba01,2001,18,0,8
bondsba01,2001,19,1,9
bondsba01,2001,20,0,9
bondsba01,2001,21,1,10
bondsba01,2001,22,0,10
bondsba01,2001,24,1,11
bondsba01,2001,25,0,11
bondsba01,2001,26,1,12
bondsba01,2001,27,1,13
bondsba01,2001,28,1,14
bondsba01,2001,29,0,14
bondsba01,2001,30,0,14
bondsba01,2001,31,0,14
bondsba01,2001,32,0,14
bondsba01,2001,33,0,14
bondsba01,2001,35,1,15
bondsba01,2001,36,0,15
bondsba01,2001,37,0,15
bondsba01,2001,38,0,15
bondsba01,2001,39,0,15
bondsba01,2001,40,1,16
bondsba01,2001,41,1,17
bondsba01,2001,42,3,20
bondsba01,2001,43,2,22
bondsba01,2001,44,1,23
bondsba01,2001,45,1,24
bondsba01,2001,46,0,24
bondsba01,2001,47,1,25
bondsba01,2001,48,0,25
bondsba01,2001,50,1,26
bondsba01,2001,51,0,26
bondsba01,2001,52,0,26
bondsba01,2001,53,2,28
bondsba01,2001,54,1,29
bondsba01,2001,55,0,29
bondsba01,2001,56,0,29
bondsba01,2001,57,1,30
bondsba01,2001,58,1,31
bondsba01,2001,60,1,32
bondsba01,2001,61,0,32
bondsba01,2001,62,0,32
bondsba01,2001,63,0,32
bondsba01,2001,64,1,33
bondsba01,2001,65,0,33
bondsba01,2001,66,1,34
bondsba01,2001,67,2,36
bondsba01,2001,68,0,36
bondsba01,2001,69,0,36
bondsba01,2001,70,1,37
bondsba01,2001,71,1,38
bondsba01,2001,73,0,38
bondsba01,2001,74,1,39
bondsba01,2001,75,0,39
bondsba01,2001,76,0,39
bondsba01,2001,77,0,39
bondsba01,2001,78,0,39
bondsba01,2001,79,0,39
bondsba01,2001,81,0,39
bondsba01,2001,82,0,39
bondsba01,2001,83,0,39
bondsba01,2001,84,0,39
bondsba01,2001,85,0,39
bondsba01,2001,86,0,39
bondsba01,2001,87,0,39
bondsba01,2001,88,0,39
bondsba01,2001,89,1,40
bondsba01,2001,90,0,40
bondsba01,2001,91,0,40
bondsba01,2001,92,0,40
bondsba01,2001,93,0,40
bondsba01,2001,94,0,40
bondsba01,2001,95,2,42
bondsba01,2001,96,0,42
bondsba01,2001,97,0,42
bondsba01,2001,98,0,42
bondsba01,2001,99,0,42
bondsba01,2001,100,0,42
bondsba01,2001,101,0,42
bondsba01,2001,102,0,42
bondsba01,2001,103,2,44
bondsba01,2001,104,1,45
bondsba01,2001,105,0,45
bondsba01,2001,106,0,45
bondsba01,2001,107,0,45
bondsba01,2001,108,1,46
bondsba01,2001,110,0,46
bondsba01,2001,111,1,47
bondsba01,2001,112,0,47
bondsba01,2001,113,1,48
bondsba01,2001,114,0,48
bondsba01,2001,115,1,49
bondsba01,2001,117,1,50
bondsba01,2001,118,0,50
bondsba01,2001,119,1,51
bondsba01,2001,120,0,51
bondsba01,2001,121,2,53
bondsba01,2001,122,0,53
bondsba01,2001,123,1,54
bondsba01,2001,124,0,54
bondsba01,2001,125,0,54
bondsba01,2001,126,0,54
bondsba01,2001,127,1,55
bondsba01,2001,128,0,55
bondsba01,2001,129,0,55
bondsba01,2001,130,0,55
bondsba01,2001,131,1,56
bondsba01,2001,132,0,56
bondsba01,2001,133,0,56
bondsba01,2001,134,0,56
bondsba01,2001,135,1,57
bondsba01,2001,136,0,57
bondsba01,2001,137,0,57
bondsba01,2001,138,1,58
bondsba01,2001,139,1,59
bondsba01,2001,140,0,59
bondsba01,2001,141,1,60
bondsba01,2001,142,0,60
bondsba01,2001,143,0,60
bondsba01,2001,144,3,63
bondsba01,2001,145,0,63
bondsba01,2001,146,0,63
bondsba01,2001,147,1,64
bondsba01,2001,148,0,64
bondsba01,2001,149,0,64
bondsba01,2001,150,2,66
bondsba01,2001,151,1,67
bondsba01,2001,152,0,67
bondsba01,2001,153,0,67
bondsba01,2001,154,1,68
bondsba01,2001,155,1,69
bondsba01,2001,156,0,69
bondsba01,2001,157,0,69
bondsba01,2001,158,0,69
bondsba01,2001,159,1,70
